airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Common Loon Airlines,"$1,414",1067018,106702,0.25%,0.33%,10.00%,"$3,298,152"
Common Milkweed Airlines,"$1,982",1743572,610250,0.26%,0.38%,35.00%,"$4,485,340"
Common Onion Airlines,$263,1280884,1050325,1.85%,2.96%,82.00%,"-$1,956,936"
Common Plantain Airlines,$905,1650792,891428,0.24%,0.48%,54.00%,"-$253,563"
Common Ragweed Airlines,$851,729770,218931,0.20%,0.34%,30.00%,"$632,711"
Common Ragwort Airlines,$724,1395365,1032570,0.36%,0.70%,74.00%,"-$1,624,204"
Common Serviceberry Airlines,"$1,037",1687569,860660,0.19%,0.48%,51.00%,"-$834,164"
Common Tansy Airlines,$519,1070788,224865,0.31%,0.80%,21.00%,"$795,276"
Common Toad Airlines,$612,1637227,442051,0.71%,1.02%,27.00%,"$4,351,587"
Common Yarrow Airlines,$651,1644741,509870,0.60%,1.06%,31.00%,"$2,858,393"
Compactus Airlines,$940,653434,307114,0.26%,0.42%,47.00%,"$398,203"
Comte Airlines,$961,1155230,646929,0.27%,0.48%,56.00%,"$32,808"
Coneflower Airlines,$673,639116,6391,0.30%,0.54%,1.00%,"$1,267,751"
Coolea Airlines,$812,1271325,76280,0.27%,0.41%,6.00%,"$2,507,814"
Cooleney Airlines,$847,279771,159469,0.41%,0.64%,57.00%,"$115,660"
Cooper’s Hawk Airlines,"$1,407",126328,13896,0.38%,0.55%,11.00%,"$576,435"
Copernicus Airlines,"$1,437",65063,25375,0.34%,0.47%,39.00%,"$146,877"
Coquetdale Airlines,$216,117441,86906,0.92%,1.41%,74.00%,"-$31,661"
Cor Caroli Airlines,"$1,591",1251647,663373,0.30%,0.44%,53.00%,"$1,325,994"
Coral Airlines,"$1,057",1180800,814752,0.47%,0.75%,69.00%,"-$601,381"
Cork Oak Airlines,$507,588182,388200,0.50%,0.84%,66.00%,"-$151,868"
Corleggy Airlines,"$1,549",501920,70269,0.17%,0.33%,14.00%,"$985,368"
Corn Sow Thistle Airlines,"$1,293",647857,498850,0.27%,0.48%,77.00%,"-$866,250"
Corn Speedwell Airlines,"$1,740",1836673,1285671,0.25%,0.36%,70.00%,"-$71,630"
Corn Thistle Airlines,"$1,175",1948926,233871,0.45%,0.60%,12.00%,"$8,673,501"
Cornel Airlines,$226,336583,80780,1.08%,2.30%,24.00%,"$404,572"
Cornelian Tree Airlines,"$1,639",1718640,1048370,0.10%,0.26%,61.00%,"-$1,588,365"
Cornish Pepper Airlines,"$1,235",1436758,1020098,0.19%,0.42%,71.00%,"-$1,926,261"
Corydalis Airlines,"$1,323",938067,178233,0.40%,0.58%,19.00%,"$3,558,274"
Cotherstone Airlines,$412,619917,198373,0.45%,0.99%,32.00%,"$333,269"
Cotija Airlines,"$1,536",1792129,250898,0.24%,0.32%,14.00%,"$5,334,810"
Cottage Cheese Airlines,"$1,657",1182839,47314,0.19%,0.34%,4.00%,"$3,471,867"
Cotton Plant Airlines,$630,1753672,315661,0.47%,0.97%,18.00%,"$3,244,644"
Cotton-top Tamarin Airlines,"$1,019",1448945,1231603,0.51%,0.74%,85.00%,"-$1,724,967"
Cougar Airlines,"$1,897",1386554,623949,0.29%,0.45%,45.00%,"$2,276,031"
Cougar Gold Airlines,$566,1040654,10407,0.54%,0.86%,1.00%,"$3,154,532"
Coulommiers Airlines,$399,965135,366751,0.76%,1.46%,38.00%,"$786,201"
Coverdale Airlines,$438,1234973,197596,1.06%,1.77%,16.00%,"$4,207,304"
Cow Airlines,$338,445401,8908,1.30%,2.10%,2.00%,"$1,892,153"
Coyote Airlines,"$1,236",113428,36297,0.16%,0.41%,32.00%,"$34,936"
Coyote Willow Airlines,$525,335248,241379,0.67%,1.15%,72.00%,"-$271,151"
Crab Airlines,"$1,512",1339879,1058504,0.24%,0.40%,79.00%,"-$1,684,091"
Crab-Eating Macaque Airlines,$342,1684091,656795,1.05%,1.77%,39.00%,"$2,048,868"
Crane Airlines,"$1,522",1537155,1229724,0.14%,0.34%,80.00%,"-$2,963,635"
Crayeux De Roncq Airlines,$830,1451668,871001,0.27%,0.45%,60.00%,"$87,099"
Cream Cheese Airlines,$685,542221,357866,0.42%,0.62%,66.00%,"$13,663"
Cream Havarti Airlines,"$1,598",1124044,179847,0.21%,0.33%,16.00%,"$2,753,908"
Creek Maple Airlines,"$1,156",23063,10378,0.27%,0.50%,45.00%,"$12,664"
Creeping Thistle Airlines,$987,1855738,1317574,0.21%,0.42%,71.00%,"-$1,605,028"
Creeping Yellow Cress Airlines,"$1,238",173755,83402,0.45%,0.68%,48.00%,"$260,427"
Crema Agria Airlines,"$1,946",1027123,647087,0.20%,0.31%,63.00%,"$124,388"
Crema Mexicana Airlines,"$1,680",952411,771453,0.32%,0.41%,81.00%,"-$254,390"
Creme Fraiche Airlines,$324,500727,5007,0.88%,1.41%,1.00%,"$1,404,190"
Crescenza Airlines,$940,1312915,78775,0.32%,0.47%,6.00%,"$3,614,455"
Cress Airlines,$421,391757,325158,0.75%,1.04%,83.00%,"-$175,819"
Crested Penguin Airlines,"$1,715",1922832,307653,0.31%,0.39%,16.00%,"$8,309,712"
Crocodile Airlines,$235,729835,233547,1.05%,1.62%,32.00%,"$905,580"
Croghan Airlines,$368,541002,259681,0.46%,0.74%,48.00%,"$213,371"
Cross River Gorilla Airlines,"$1,582",1056243,105624,0.25%,0.35%,10.00%,"$3,628,196"
Crottin De Chavignol Airlines,$383,1663238,981310,1.01%,1.43%,59.00%,"$1,059,152"
Crowdie Airlines,$512,247929,32231,0.69%,1.00%,13.00%,"$709,522"
Crowfoot Airlines,"$1,877",1212840,764089,0.12%,0.25%,63.00%,"-$725,277"
Crowley Airlines,$943,39048,3905,0.43%,0.76%,10.00%,"$130,146"
Crows Nest Airlines,"$1,141",44694,33074,0.44%,0.54%,74.00%,"$18,411"
Crows Toes Airlines,"$1,598",758156,348752,0.24%,0.41%,46.00%,"$581,504"
Cuajada Airlines,"$1,436",59370,43934,0.33%,0.41%,74.00%,"$21,123"
Cucumber Airlines,$361,579909,458128,1.48%,2.18%,79.00%,"-$502,954"
Cujam Airlines,$662,183583,119329,0.64%,0.88%,65.00%,"$80,776"
Curd Airlines,"$1,012",1834502,1155736,0.22%,0.45%,63.00%,"-$1,204,349"
Cure Nantais Airlines,$858,1942808,757695,0.60%,0.83%,39.00%,"$4,640,981"
Curly Coated Retriever Airlines,"$1,007",1429286,1029086,0.27%,0.57%,72.00%,"-$1,924,963"
Cursa Airlines,$918,181599,58112,0.32%,0.62%,32.00%,"$205,060"
Cursed Thistle Airlines,"$1,076",1058592,529296,0.36%,0.48%,50.00%,"$1,418,513"
Curworthy Airlines,"$1,893",1250445,37513,0.28%,0.44%,3.00%,"$6,365,643"
Cuscus Airlines,"$1,109",1160436,557009,0.47%,0.73%,48.00%,"$1,528,064"
Cutleaf Coneflower Airlines,"$1,589",96546,57928,0.15%,0.31%,60.00%,"-$53,295"
Cutleaf Maple Airlines,$312,1278988,575545,0.85%,1.28%,45.00%,"$1,085,859"
Cutleaf Toothwort Airlines,$581,156388,101652,0.85%,1.29%,65.00%,"$14,780"
Cuttlefish Airlines,"$1,782",120197,38463,0.16%,0.27%,32.00%,"$154,622"
Cwmtawe Pecorino Airlines,"$1,635",780057,444632,0.13%,0.24%,57.00%,"-$83,620"
Cypress Grove Chevre Airlines,"$1,355",1369688,890297,0.29%,0.46%,65.00%,"-$218,464"
Dabih Airlines,"$1,962",20848,9382,0.11%,0.26%,45.00%,"-$4,067"
Dachshund Airlines,$370,1087612,184894,1.28%,1.91%,17.00%,"$3,858,956"
Daisy Airlines,$789,822658,361970,0.47%,0.76%,44.00%,"$912,160"
Dalim Airlines,"$1,038",1670078,918543,0.24%,0.35%,55.00%,"$770,741"
Dalmatian Airlines,$259,401931,0,1.52%,2.23%,0.00%,"$1,579,589"
Damask Violet Airlines,$509,96781,76457,0.98%,1.55%,79.00%,"-$121,838"
Dames Gilli Flower Airlines,$478,233338,191337,1.01%,1.63%,82.00%,"-$365,826"
Dames Rocket Airlines,$665,15836,12510,0.43%,0.84%,79.00%,"-$24,198"
Dames Violet Airlines,$222,1109753,621462,0.78%,1.51%,56.00%,"-$150,927"
Danablu Airlines,"$1,046",1502920,736431,0.40%,0.51%,49.00%,"$2,357,028"
Danbo Airlines,"$1,251",734595,506871,0.43%,0.64%,69.00%,"-$82,572"
Danish Fontina Airlines,"$1,901",1826282,1168820,0.09%,0.23%,64.00%,"-$1,951,198"
Daralagjazsky Airlines,$455,18317,4946,0.73%,0.98%,27.00%,"$39,120"
Darwin’s Frog Airlines,$577,1893674,1155141,0.67%,0.85%,61.00%,"$1,642,005"
Dauphin Airlines,$589,335638,214808,0.50%,0.93%,64.00%,"-$184,868"
Deadly Nightshade Airlines,"$1,270",1878606,1089591,0.17%,0.30%,58.00%,"-$32,310"
Deadnettle Airlines,"$1,824",1549354,1208496,0.20%,0.30%,78.00%,"-$889,638"
Deciduous Holly Airlines,$699,1567326,125386,0.52%,0.97%,8.00%,"$4,810,438"
Deer Airlines,$775,611065,452188,0.37%,0.60%,74.00%,"-$359,795"
Delice Des Fiouves Airlines,$232,536043,273382,1.89%,2.52%,51.00%,"$748,584"
Deneb Airlines,$357,46828,8429,0.71%,1.39%,18.00%,"$77,435"
Deneb Algedi Airlines,$540,29503,2065,0.37%,0.95%,7.00%,"$48,118"
Denebola Airlines,"$1,128",1770362,672738,0.37%,0.54%,38.00%,"$3,347,044"
Denhany Dorset Drum Airlines,"$1,629",1161170,986995,0.12%,0.24%,85.00%,"-$1,551,325"
Derby Airlines,$709,185089,38869,0.58%,0.75%,21.00%,"$554,710"
Desert Tortoise Airlines,"$1,756",187874,122118,0.29%,0.35%,65.00%,"$206,850"
Deserti Airlines,"$1,760",366878,95388,0.24%,0.40%,26.00%,"$865,027"
Dessertnyj Belyj Airlines,"$1,415",710843,92410,0.12%,0.24%,13.00%,"$902,911"
Deutsche Bracke Airlines,"$1,925",103274,19622,0.09%,0.22%,19.00%,"$100,971"
Devils Bite Airlines,"$1,281",1169943,514775,0.28%,0.44%,44.00%,"$1,242,011"
Devils Darning Needle Airlines,$485,718633,553347,1.08%,1.42%,77.00%,"-$57,991"
Devils Nose Airlines,"$1,585",250887,203218,0.12%,0.28%,81.00%,"-$451,293"
Devils Plague Airlines,"$1,143",124247,2485,0.15%,0.40%,2.00%,"$195,018"
Devon Blue Airlines,"$1,090",590605,206712,0.48%,0.67%,35.00%,"$1,583,705"
Devon Garland Airlines,"$1,678",339336,285042,0.14%,0.20%,84.00%,"-$176,725"
Dewberry Airlines,"$1,269",1366773,587712,0.17%,0.37%,43.00%,"$246,704"
Dhole Airlines,"$1,868",1109646,454955,0.24%,0.37%,41.00%,"$1,840,569"
Diadem Airlines,"$1,912",221369,13282,0.16%,0.25%,6.00%,"$630,592"
Dindle Airlines,"$1,978",694134,333184,0.10%,0.21%,48.00%,"-$56,640"
Dingo Airlines,"$1,631",1900352,779144,0.10%,0.18%,41.00%,"$691,919"
Dingolay Airlines,$782,1650753,528241,0.65%,0.80%,32.00%,"$5,094,884"
Diphda Airlines,"$1,947",1592387,398097,0.28%,0.41%,25.00%,"$5,565,391"
Discus Airlines,"$1,552",1821847,1366385,0.12%,0.28%,75.00%,"-$2,582,467"
Diwo Airlines,$749,1634625,1340393,0.47%,0.81%,82.00%,"-$2,425,460"
Diya Airlines,"$1,672",1817826,745309,0.29%,0.44%,41.00%,"$3,288,081"
Doberman Pinscher Airlines,$877,1653295,892779,0.55%,0.76%,54.00%,"$2,057,362"
Dodo Airlines,$456,457669,311215,0.50%,0.73%,68.00%,"$22,517"
Dofida Airlines,$791,38931,8176,0.29%,0.57%,21.00%,"$51,644"
Dog Airlines,$898,67787,27793,0.37%,0.54%,41.00%,"$88,657"
Dogo Argentino Airlines,$715,337647,246482,0.61%,0.94%,73.00%,"-$187,595"
Dogtooth Violet Airlines,"$1,549",666485,333243,0.10%,0.17%,50.00%,"$166,620"
Dogue De Bordeaux Airlines,"$1,672",1775387,834432,0.12%,0.24%,47.00%,"$289,210"
Dogwood Airlines,$663,284219,207480,0.69%,0.86%,73.00%,"$123,237"
Dolcelatte Airlines,$834,1838557,1342147,0.44%,0.74%,73.00%,"-$1,592,193"
Dolphin Airlines,"$1,789",1611711,1128198,0.16%,0.31%,70.00%,"-$1,526,292"
Dombay Airlines,$779,884145,335975,0.42%,0.58%,38.00%,"$1,421,352"
Donkey Airlines,"$1,828",1691531,1116410,0.28%,0.38%,66.00%,"$924,932"
Doolin Airlines,"$1,159",729086,371834,0.29%,0.45%,51.00%,"$497,455"
Dooryard Plantain Airlines,"$1,069",41591,24123,0.28%,0.55%,58.00%,"-$15,756"
Doppelrhamstufel Airlines,"$1,062",999188,159870,0.22%,0.41%,16.00%,"$1,614,688"
Dormouse Airlines,"$1,850",542429,450216,0.20%,0.33%,83.00%,"-$783,538"
Dorsalis Airlines,$698,818104,409052,0.48%,0.81%,50.00%,"$425,414"
Dorset Blue Vinney Airlines,"$1,350",1930431,945911,0.31%,0.46%,49.00%,"$2,224,630"
Double Gloucester Airlines,"$1,353",1139830,296356,0.32%,0.52%,26.00%,"$2,829,285"
Double Worcester Airlines,$988,928722,130021,0.44%,0.74%,14.00%,"$3,093,388"
Downy Serviceberry Airlines,$636,438037,43804,0.59%,0.81%,10.00%,"$1,420,552"
Dragonfish Airlines,"$1,085",241429,159343,0.26%,0.41%,66.00%,"-$15,403"
Dragonfly Airlines,$490,1376677,330402,0.71%,1.10%,24.00%,"$2,975,828"
Dreux A La Feuille Airlines,"$1,432",425709,38314,0.19%,0.39%,9.00%,"$920,126"
Drever Airlines,$280,1799119,1421304,1.13%,1.58%,79.00%,"-$582,735"
Drum Fish Airlines,"$1,866",678430,244235,0.18%,0.33%,36.00%,"$795,933"
Drumstick Airlines,"$1,768",1011852,526163,0.22%,0.40%,52.00%,"$219,775"
Dry Jack Airlines,$413,1805530,1137484,1.28%,2.04%,63.00%,"-$44,417"
Dschubba Airlines,$533,1856485,1002502,0.51%,1.10%,54.00%,"-$767,843"
Dubhe Airlines,$888,1391012,639866,0.38%,0.71%,46.00%,"$627,622"
Duck Airlines,"$1,617",932698,671543,0.10%,0.24%,72.00%,"-$1,129,686"
Duck Retten Airlines,$618,1858475,706221,0.85%,1.33%,38.00%,"$3,974,902"
Duddleswell Airlines,"$1,210",1139224,398728,0.44%,0.67%,35.00%,"$2,857,177"
Dugong Airlines,"$1,642",1979452,950137,0.14%,0.29%,48.00%,"$68,885"
Dunbarra Airlines,"$1,879",1299073,389722,0.08%,0.14%,30.00%,"$947,024"
Dunker Airlines,"$1,872",1674769,1239329,0.13%,0.26%,74.00%,"-$1,981,251"
Dunlop Airlines,$653,1544950,401687,0.36%,0.65%,26.00%,"$1,962,395"
Dunsyre Blue Airlines,"$1,540",1913878,1129188,0.32%,0.52%,59.00%,"$390,623"
Duroblando Airlines,$400,331161,228501,0.92%,1.18%,69.00%,"$141,406"
Durrus Airlines,$239,1946392,1459794,1.33%,2.21%,75.00%,"-$1,518,186"
Duscle Airlines,"$1,975",887580,124261,0.11%,0.23%,14.00%,"$1,321,252"
Dusky Dolphin Airlines,$837,675102,297045,0.33%,0.64%,44.00%,"$303,255"
Dutch Mimolette Airlines,"$1,748",637956,210525,0.19%,0.30%,33.00%,"$983,157"
Dwarf Crocodile Airlines,$671,325552,13022,0.46%,0.75%,4.00%,"$946,836"
Dwarf Wild Rose Airlines,"$1,867",1674665,686613,0.09%,0.23%,41.00%,"-$65,146"
Dye Leaves Airlines,"$1,839",1628970,1205438,0.27%,0.40%,74.00%,"-$817,093"
Dyers Oak Airlines,"$1,913",1055453,284972,0.27%,0.35%,27.00%,"$3,607,540"
Dziban Airlines,"$1,594",1976215,1383352,0.32%,0.48%,70.00%,"-$391,302"
Eagle Airlines,$478,1121730,0,0.51%,0.96%,0.00%,"$2,737,021"
Early Winter Cress Airlines,"$1,592",689353,110296,0.35%,0.49%,16.00%,"$2,960,086"
Earth Gall Airlines,$433,632866,335419,0.85%,1.34%,53.00%,"$370,480"
Earwig Airlines,"$1,634",495610,193288,0.31%,0.48%,39.00%,"$1,022,393"
Eastern Black Oak Airlines,$348,544058,59846,0.70%,1.14%,11.00%,"$1,079,032"
Eastern Coneflower Airlines,$286,62069,4966,1.33%,1.85%,8.00%,"$209,021"
Eastern Gorilla Airlines,$549,1179056,23581,0.65%,0.96%,2.00%,"$4,108,303"
Eastern Lowland Gorilla Airlines,$472,692525,540170,0.36%,0.92%,78.00%,"-$1,168,569"
Eastern Redbud Airlines,$914,93158,43784,0.33%,0.54%,47.00%,"$64,224"
Ebla Airlines,"$1,779",995562,228979,0.27%,0.40%,23.00%,"$3,224,229"
Echidna Airlines,$502,1982224,1645246,0.43%,1.08%,83.00%,"-$4,612,437"
Edam Airlines,"$1,477",1318108,764503,0.31%,0.46%,58.00%,"$944,554"
Edasich Airlines,$503,61590,11086,0.60%,0.82%,18.00%,"$140,438"
Edelpilz Airlines,$368,1977912,59337,1.00%,1.38%,3.00%,"$6,956,912"
Edible Frog Airlines,"$1,735",141796,86496,0.10%,0.26%,61.00%,"-$153,369"
Eel Airlines,$224,963814,163848,0.72%,1.50%,17.00%,"$1,012,488"
Egyptian Mau Airlines,$491,575637,149666,0.88%,1.48%,26.00%,"$1,401,443"
Elator Airlines,$213,1936093,193609,1.99%,3.04%,10.00%,"$6,937,023"
Electra Airlines,$631,604449,344536,0.70%,1.07%,57.00%,"$341,755"
Electric Eel Airlines,$898,327793,62281,0.32%,0.59%,19.00%,"$600,843"
Elephant Airlines,"$1,746",1261448,592881,0.24%,0.33%,47.00%,"$1,995,104"
Elephant Seal Airlines,"$1,798",367944,253881,0.15%,0.26%,69.00%,"-$235,446"
Elephant Shrew Airlines,$428,680096,469266,0.79%,1.24%,69.00%,"-$190,970"
Elgafar Airlines,$340,1362369,980906,1.25%,2.07%,72.00%,"-$1,115,510"
Elkurud Airlines,"$1,397",1080102,432041,0.19%,0.35%,40.00%,"$766,871"
Elnath Airlines,$223,515806,392013,0.96%,1.52%,76.00%,"-$226,337"
Eltanin Airlines,$555,168682,32050,0.97%,1.15%,19.00%,"$703,755"
Emental Grand Cru Airlines,$676,1109158,654403,0.46%,0.73%,59.00%,"$210,187"
Emiw Airlines,"$1,909",481738,240869,0.21%,0.38%,50.00%,"$199,921"
Emlett Airlines,$353,1099312,659587,1.55%,1.88%,60.00%,"$1,646,771"
Emmental Airlines,$338,1596112,47883,0.52%,1.09%,3.00%,"$2,616,508"
Emperor Penguin Airlines,"$1,955",1833032,403267,0.27%,0.36%,22.00%,"$6,931,061"
Emperor Tamarin Airlines,$675,803205,409635,0.70%,0.97%,51.00%,"$1,136,211"
Emu Airlines,"$1,921",687987,515990,0.13%,0.23%,75.00%,"-$528,029"
English Bulls Eye Airlines,$277,1156336,450971,1.68%,2.09%,39.00%,"$2,772,894"
English Cocker Spaniel Airlines,"$1,845",142441,105406,0.09%,0.26%,74.00%,"-$263,913"
English Oak Airlines,"$1,037",164988,44547,0.41%,0.58%,27.00%,"$438,867"
English Shepherd Airlines,"$1,136",345709,10371,0.30%,0.56%,3.00%,"$1,105,683"
English Springer Spaniel Airlines,$861,1331272,173065,0.42%,0.72%,13.00%,"$3,765,904"
Enif Airlines,$286,1722836,223969,1.77%,2.23%,13.00%,"$7,273,639"
Entlebucher Mountain Dog Airlines,$549,378951,125054,0.48%,0.73%,33.00%,"$493,886"
Epagneul Pont Audemer Airlines,"$1,678",1677856,637585,0.28%,0.45%,38.00%,"$3,005,713"
Epoisses De Bourgogne Airlines,"$1,482",1567932,1254346,0.12%,0.27%,80.00%,"-$2,119,846"
Ermine Airlines,"$1,049",46992,35714,0.35%,0.63%,76.00%,"-$62,913"
Errai Airlines,"$1,759",1900674,1273452,0.23%,0.38%,67.00%,"-$770,536"
Esbareich Airlines,$891,773975,23219,0.47%,0.69%,3.00%,"$3,084,215"
Eskimo Dog Airlines,$677,1981545,832249,0.32%,0.79%,42.00%,"-$203,703"
Esrom Airlines,$992,1004849,823976,0.21%,0.46%,82.00%,"-$1,697,390"
Estrela Mountain Dog Airlines,$214,86018,15483,1.23%,2.39%,18.00%,"$147,815"
Etorki Airlines,"$1,983",1855199,1539815,0.27%,0.33%,83.00%,"-$120,216"
Eucalyptus Airlines,"$1,087",58106,36026,0.21%,0.33%,62.00%,"$1,184"
European Flax Airlines,$914,1390978,306015,0.59%,0.86%,22.00%,"$5,061,214"
European Holly Airlines,$703,1926116,1232714,0.75%,1.05%,64.00%,"$977,698"
European Pellitory Airlines,"$1,386",368525,66335,0.18%,0.28%,18.00%,"$657,594"
European Weeping Birch Airlines,"$1,375",174695,24457,0.22%,0.43%,14.00%,"$375,526"
European White Birch Airlines,$339,1385337,858909,1.22%,2.17%,62.00%,"-$596,804"
European White Hellebore Airlines,"$1,656",1284760,192714,0.16%,0.26%,15.00%,"$2,525,196"
Evansdale Farmhouse Brie Airlines,$936,1591245,1352558,0.32%,0.66%,85.00%,"-$3,480,847"
Evergreen Huckleberry Airlines,"$1,496",1706679,938673,0.19%,0.41%,55.00%,"-$854,190"
Evergreen Winterberry Airlines,"$1,337",579836,301515,0.17%,0.36%,52.00%,"-$154,702"
Evora De L'Alentejo Airlines,"$1,606",1135877,658809,0.14%,0.28%,58.00%,"-$459,123"
Exmoor Blue Airlines,$407,268439,128851,1.29%,2.00%,48.00%,"$361,746"
Explorateur Airlines,$739,242165,169516,0.71%,1.04%,70.00%,"-$26,642"
Extinguisher Moss Airlines,$593,1707741,426935,0.66%,1.18%,25.00%,"$3,692,992"
Eytelia Airlines,$301,1372071,878125,0.78%,1.21%,64.00%,"$5,490"
Fafnir Airlines,$754,981975,147296,0.73%,1.03%,15.00%,"$4,259,319"
Fair Maid Of France Airlines,"$1,485",1984818,277875,0.22%,0.30%,14.00%,"$5,364,167"
Fairymoss Azolla Caroliniana Airlines,"$1,521",1627565,1041642,0.35%,0.47%,64.00%,"$1,214,161"
Falcon Airlines,"$1,279",881868,502665,0.27%,0.42%,57.00%,"$301,598"
False Alder Airlines,$375,770834,447084,0.60%,1.29%,58.00%,"-$421,802"
False Box Airlines,"$1,188",1664075,133126,0.28%,0.39%,8.00%,"$4,887,721"
False Boxwood Airlines,$794,1060500,827190,0.38%,0.66%,78.00%,"-$1,140,038"
False Hellebore Airlines,$788,1432630,616031,0.65%,0.80%,43.00%,"$3,488,883"
False Killer Whale Airlines,$725,196364,56946,0.54%,0.78%,29.00%,"$445,214"
Fang Airlines,$742,301691,174981,0.51%,0.72%,58.00%,"$194,710"
Fangtooth Airlines,$365,633280,335638,0.86%,1.64%,53.00%,"-$25,329"
Farmer Airlines,$251,197903,94993,1.25%,1.86%,48.00%,"$178,827"
Fawaris Airlines,$538,1267382,190107,0.42%,0.65%,15.00%,"$2,228,059"
Felis Airlines,$602,1499434,674745,0.25%,0.68%,45.00%,"-$497,061"
Felixvarela Airlines,"$1,973",730080,270130,0.23%,0.38%,37.00%,"$1,340,789"
Fellenwort Airlines,"$1,168",1296561,920558,0.47%,0.70%,71.00%,"-$449,256"
Felonwood Airlines,"$1,638",1168018,455527,0.20%,0.33%,39.00%,"$1,480,346"
Felonwort Airlines,"$1,798",237941,187973,0.21%,0.28%,79.00%,"-$53,106"
Fennec Fox Airlines,$347,1930263,1138855,0.50%,1.37%,59.00%,"-$2,112,286"
Fennel Airlines,"$1,774",1447574,419796,0.29%,0.41%,29.00%,"$4,383,981"
Fern Leaf Corydalis Airlines,$818,309873,46481,0.27%,0.56%,15.00%,"$479,063"
Fern Leaf Yarrow Airlines,$230,773861,580396,1.81%,2.81%,75.00%,"-$530,096"
Ferns Airlines,"$1,448",377620,166153,0.29%,0.37%,44.00%,"$703,732"
Ferret Airlines,$432,1658707,514199,1.03%,1.65%,31.00%,"$3,715,007"
Feta Airlines,$219,1855809,1057811,1.99%,2.47%,57.00%,"$2,339,434"
Fever Bush Airlines,$929,1803362,1406622,0.58%,0.72%,78.00%,"$424,153"
Feverfew Airlines,$948,2001636,1160949,0.25%,0.41%,58.00%,"$227,786"
Field Sow Thistle Airlines,"$1,316",1853387,240940,0.39%,0.60%,13.00%,"$7,648,745"
Field Spaniel Airlines,$232,599790,443845,1.57%,2.44%,74.00%,"-$333,366"
Fig Airlines,$526,1803141,1406450,0.52%,0.83%,78.00%,"-$1,209,547"
Figue Airlines,"$1,325",1623414,1347434,0.34%,0.57%,83.00%,"-$2,935,460"
Filetta Airlines,$504,987695,187662,0.77%,1.13%,19.00%,"$2,758,336"
Fin Whale Airlines,$891,1812757,362551,0.24%,0.47%,20.00%,"$2,407,343"
Fin-De-Siecle Airlines,"$1,496",391925,129335,0.33%,0.48%,33.00%,"$986,595"
Finlandia Swiss Airlines,$628,948338,417269,0.54%,0.83%,44.00%,"$1,023,066"
Finn Airlines,$572,1074140,300759,0.89%,1.42%,28.00%,"$3,022,202"
Finnish Spitz Airlines,"$1,098",1834187,73367,0.40%,0.50%,4.00%,"$7,685,980"
Fiore Sardo Airlines,$562,1465914,659661,0.29%,0.67%,45.00%,"-$92,351"
Fire-Bellied Toad Airlines,"$1,547",1611512,467338,0.28%,0.35%,29.00%,"$4,346,089"
Fish Airlines,"$1,632",833718,358499,0.18%,0.24%,43.00%,"$1,043,397"
Fishing Cat Airlines,$601,639242,185380,0.30%,0.62%,29.00%,"$457,314"
Flamingo Airlines,"$1,160",1002194,491075,0.43%,0.65%,49.00%,"$1,338,130"
Flat Coat Retriever Airlines,$551,1454871,640143,0.78%,1.36%,44.00%,"$1,474,077"
Flax Airlines,$615,1733626,1092184,0.74%,0.98%,63.00%,"$1,297,621"
Flegetonte Airlines,"$1,044",1216961,523293,0.42%,0.57%,43.00%,"$2,195,764"
Fleur Du Maquis Airlines,$716,1092697,590056,0.74%,0.99%,54.00%,"$1,636,426"
Flor De Guia Airlines,"$1,852",1575891,803704,0.26%,0.43%,51.00%,"$1,080,277"
Florida Dogwood Airlines,$247,103061,1031,2.12%,2.89%,1.00%,"$532,668"
Flounder Airlines,$304,392749,216012,1.55%,2.45%,55.00%,"$242,719"
Flower Marie Airlines,$317,1961463,39229,1.23%,1.76%,2.00%,"$7,450,030"
Flowering Dogwood Airlines,$992,576289,478320,0.52%,0.77%,83.00%,"-$702,785"
Fluke Fish (summer flounder) Airlines,$538,1671122,501337,0.69%,1.11%,30.00%,"$3,196,854"
Fluxroot Airlines,"$1,033",369709,59153,0.38%,0.50%,16.00%,"$1,127,467"
Fly Airlines,"$1,408",1587701,523941,0.16%,0.34%,33.00%,"$946,430"
Flying Squirrel Airlines,$451,841339,588937,0.69%,1.35%,70.00%,"-$984,365"
Folded Airlines,$852,1828031,1261341,0.41%,0.65%,69.00%,"-$527,933"
Folded Cheese With Mint Airlines,$323,1011003,657152,0.95%,1.46%,65.00%,"$18,703"
Fomalhaut Airlines,$349,1353925,1001905,1.03%,1.53%,74.00%,"-$493,102"
Fondant De Brebis Airlines,"$1,034",1336655,1055957,0.49%,0.73%,79.00%,"-$1,193,496"
Fontainebleau Airlines,$692,155248,130408,0.72%,1.18%,84.00%,"-$286,585"
Fontal Airlines,"$1,132",1863322,558997,0.38%,0.55%,30.00%,"$4,477,560"
Fontina Val D'Aosta Airlines,"$1,620",1034218,610189,0.10%,0.25%,59.00%,"-$838,546"
Formaggio Di Capra Airlines,"$1,059",1809793,1266855,0.29%,0.57%,70.00%,"-$2,064,973"
Formosa Airlines,"$1,379",277042,36015,0.15%,0.23%,13.00%,"$469,311"
Fossa Airlines,"$1,066",1499580,1184668,0.15%,0.32%,79.00%,"-$1,607,999"
